Name,Sector,CUSIP,ISIN,Price,Duration,YTM (%),Maturity,Coupon (%),credit_spread,ticker,marketCapitalization,shareOutstanding,mention,positiveScore,negativeScore,positiveMention,negativeMention,score,RTG_FITCH,RTG_SP,RTG_MOODY,BB_COMPOSITE,operating_profit_margin,ebitda_margin,roa,debt_to_assets,debt_to_equity,int_coverage,debt_service_coverage,cash_coverage,current_ratio,quick_ratio,cash_ratio
cvs health corp,Consumer Non-Cyclical,126650CZ1,US126650CZ11,84.78,12.62,6.27,25-mar-48,5.05,0.93,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650CY4,US126650CY46,87.1,9.77,6.13,25-mar-38,4.78,0.79,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650CX6,US126650CX62,94.64,3.9,5.66,25-mar-28,4.3,0.32,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650CN8,US126650CN80,85.52,12.1,6.36,20-jul-45,5.13,1.02,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650CL2,US126650CL25,96.58,1.69,5.87,20-jul-25,3.88,0.53,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650DM9,US126650DM98,85.03,3.73,5.61,21-ago-27,1.3,0.27,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650DU1,US126650DU15,95.26,7.26,5.91,21-feb-33,5.25,0.57,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650DG2,US126650DG21,87.68,5.21,5.74,15-ago-29,3.25,0.4,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650DT4,US126650DT42,96.6,5.35,5.77,21-feb-30,5.13,0.43,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
cvs health corp,Consumer Non-Cyclical,126650CU2,US126650CU24,93.02,2.5,5.7,01-jun-26,2.88,0.36,CVS,92335.45229,1284.4,236,22.18426651,-79.98701578,29,195,-59.47490385,,BBB,Baa2,BBB,0.88896886,0.049032287,0.007601841,0.32845072,1.129389764,4.746355685,1.913212435,4.471178756,0.855440244,31722000000,0.174317602
